interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220105900,0.59,10.75,0,0,12
0.0,1800.00,1220106300,1.01,7.91,0,0,14
0.0,1800.00,1220106400,0.55,10.73,0,0,11
0.0,1800.00,1220106700,0.12,9.56,0,2,2
0.0,1800.00,1220106800,0.35,8.12,0,5,5
0.0,1800.00,1220107000,0.10,11.08,0,0,2
0.0,1800.00,1220103700,0.07,8.44,1,0,0
0.0,1800.00,1220107400,0.99,8.00,0,14,14
0.0,1800.00,1220107700,0.33,10.27,0,2,6
0.0,1800.00,1220109500,0.06,8.84,0,1,1
0.0,1800.00,1220109800,0.58,7.64,8,0,0
0.0,1800.00,1220109900,0.18,7.71,0,2,3
0.0,1800.00,1220110100,0.16,6.90,0,2,2
0.0,1800.00,1220110300,0.09,6.22,1,0,0
0.0,1800.00,1220110600,0.37,23.07,0,15,15
0.0,1800.00,1220321900,0.07,8.43,0,0,1
0.0,1800.00,1220322000,0.28,7.98,1,3,3
0.0,1800.00,1220322500,2.57,2.46,0,3,11
0.0,1800.00,1220107500,0.78,10.54,0,3,15
0.0,1800.00,1220069302,0.09,5.94,1,0,0
0.0,1800.00,1220088900,0.30,7.45,0,4,4
0.0,1800.00,1220088300,1.17,12.69,2,0,24
0.0,1800.00,1220075300,1.14,6.87,9,5,5
0.0,1800.00,1220075400,0.23,9.86,0,4,4
0.0,1800.00,1220075600,0.17,6.82,0,0,2
0.0,1800.00,1220075900,0.54,7.46,0,0,7
0.0,1800.00,1220076000,0.45,7.50,0,6,6
0.0,1800.00,1220076100,0.61,5.57,0,4,7
0.0,1800.00,1220076200,0.27,2.06,0,1,1
0.0,1800.00,1220076400,0.14,8.03,0,2,2
0.0,1800.00,1220076600,0.56,11.19,0,0,12
0.0,1800.00,1220076700,0.44,12.86,0,0,10
0.0,1800.00,1220077500,0.60,6.47,7,0,0
0.0,1800.00,1220077600,0.36,7.61,5,0,0
0.0,1800.00,1220077900,0.55,7.48,0,0,7
0.0,1800.00,1220078100,0.16,7.09,2,0,0
0.0,1800.00,1220078500,0.27,12.95,0,0,6
0.0,1800.00,1220078700,0.52,7.50,0,7,7
0.0,1800.00,1220078800,0.88,7.55,12,0,0
0.0,1800.00,1220078900,0.16,6.82,0,2,2
0.0,1800.00,1220079000,1.16,12.88,0,14,27
0.0,1800.00,1220079100,2.17,5.01,3,0,17
0.0,1800.00,1220079200,1.13,2.09,0,4,5
0.0,1800.00,1220075200,0.99,7.55,0,6,13
0.0,1800.00,1220074600,0.17,6.80,0,0,2
