,LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
287135,1210005702,1210049700,1210049100,3,104,000,-,강남대로,0,0,104,50,0,0,0,66.923281899851,,"LINESTRING (127.01642834631102 37.52110315205266, 127.01653145238743 37.52094083640961, 127.01664365597128 37.52078705909632, 127.0168725845238 37.52062611199296)"
287144,1210006000,1210051900,1210049700,2,104,000,-,강남대로,0,0,104,40,0,0,0,214.538285376853,,"LINESTRING (127.01652189013657 37.522920534532155, 127.01664162575875 37.5227747994688, 127.01671529673148 37.522623161132394, 127.01672390450506 37.52247702448923, 127.01656773349166 37.5221521205975, 127.0164311399659 37.52185941830145, 127.01635740277636 37.52168621525591, 127.01630239831289 37.52151010834594, 127.01630301330347 37.52141471728899, 127.01632247777218 37.5212985356891, 127.01642834631102 37.52110315205266)"
293065,1210013603,1210024100,1210022100,4,104,000,-,강남대로,0,0,000,50,0,0,0,171.987099997925,,"LINESTRING (127.03400629051242 37.48454851446303, 127.03464729748636 37.48385576534198, 127.03519870877267 37.48332519842045)"
293068,1210013703,1210022100,1210024100,4,104,000,-,강남대로,0,0,000,50,0,0,0,171.31086834646,,"LINESTRING (127.03530320262341 37.483394162880664, 127.03475423043417 37.48392238424093, 127.03411549200739 37.48461268163524)"
302343,1220005701,1220060700,1220061800,4,102,000,88,올림픽대로,0,0,000,80,5,0,0,703.298027333903,,"LINESTRING (127.02466103169783 37.5321844594385, 127.02503281401512 37.532556887530845, 127.02524961498557 37.53276818470196, 127.02541593948372 37.532914503134506, 127.02557506217244 37.53303763562694, 127.02574104353867 37.53316626791985, 127.02596769911459 37.533305034625165, 127.0262278208611 37.5334524115388, 127.02642062672484 37.533546571817716, 127.02671477188075 37.53366634958474, 127.02697973175447 37.53376283790853, 127.027195287746 37.533823577197616, 127.02741533351237 37.53388431595138, 127.02764884886429 37.533941475069085, 127.02789583359879 37.53399147929945, 127.02813832272292 37.53402718069482, 127.02833141517478 37.53405216523517, 127.02857839004601 37.53407713643275, 127.02881638232243 37.53409495806189, 127.02903640914853 37.53409848024094, 127.02924296175887 37.53409842927482, 127.02947645496937 37.5340912190812, 127.02967851245332 37.53407686508617, 127.02988954813982 37.534055357229406, 127.03014100008248 37.534014551862064, 127.03041772576452 37.53395850893289, 127.03087965860018 37.53383811353811, 127.03134473044116 37.53370621242222, 127.03169076578085 37.53359312374117)"
302406,1220004700,1220002500,1220053600,1,104,000,-,올림픽대로,0,0,104,50,0,0,0,305.256985540355,,"LINESTRING (127.01956262642639 37.52276683110512, 127.01924938419714 37.522754864098985, 127.01891227255082 37.52279522671541, 127.01729399915884 37.52300922141003, 127.0170763837167 37.52309180112935, 127.01697557135567 37.52317008845908, 127.01690751034849 37.52327712741547, 127.01687077183396 37.52340218101041, 127.0168521385869 37.52350584581355, 127.01691138907795 37.52376687038311)"
302465,1220005401,1220060400,1220056200,5,102,000,88,올림픽대로,0,0,000,80,5,0,0,1515.2178425162,,"LINESTRING (127.0381011868813 37.53187887340737, 127.04162998530805 37.531033780113205, 127.04217319935411 37.53087625002358, 127.04259967765115 37.53073306209283, 127.04312940836871 37.53055765298932, 127.04473654993474 37.53004213192023, 127.0453021866835 37.52985954729632, 127.0457690712985 37.52973063669225, 127.04639758828269 37.529587357451746, 127.04961192835037 37.528806514257425, 127.0515378109281 37.52834440371134, 127.05240872092703 37.52814377191809, 127.05275885894751 37.52803276487867, 127.05304164522656 37.527921786166374, 127.05329748669588 37.52780366768684, 127.05355331826382 37.52767124525206, 127.05374180739774 37.52754958115183, 127.05400658960394 37.52738139469605, 127.05416661292874 37.52728699733082)"
302469,1220005402,1220056200,1220053300,5,102,000,88,올림픽대로,0,0,000,80,5,0,0,537.858420326306,,"LINESTRING (127.05416661292874 37.52728699733082, 127.05443738297407 37.527055793787596, 127.05462582218817 37.52686976251369, 127.05505198579247 37.526361792372086, 127.05537497802493 37.52598975189168, 127.0557099795428 37.525670151272216, 127.05615272173303 37.52533619420036, 127.0564040165871 37.52515966544252, 127.0566433440768 37.52499267809244, 127.05697843000394 37.5247970363732, 127.05789393502188 37.524276899359656, 127.05849380894084 37.523950116587905)"
302547,1220005601,1220062100,1220061700,4,102,000,88,올림픽대로,0,0,000,80,5,0,0,311.904961675741,,"LINESTRING (127.02991656641034 37.53424844658776, 127.02969206383331 37.534280685195036, 127.02948551944476 37.53430576855029, 127.02924304692937 37.534316556156874, 127.02904098594178 37.534323758163524, 127.02878054523019 37.5343166697769, 127.0285111218126 37.534302431741125, 127.02829108878875 37.53428102912419, 127.02808901707526 37.53425962272743, 127.02781958090739 37.534213200267, 127.02757708474918 37.53415961965963, 127.02735704196128 37.534109608526066, 127.02710106684188 37.534030998455044, 127.02688550760975 37.53395953077915, 127.02658012568092 37.533841596718105, 127.02650391458828 37.53380779117268)"
302548,1220005603,1220060500,1220062100,4,102,000,88,올림픽대로,0,0,000,80,5,0,0,915.34617986436,,"LINESTRING (127.03977057939484 37.531721285721275, 127.0382000765897 37.532086241122066, 127.03603157933746 37.53262330122556, 127.03435468104625 37.533046347015464, 127.03388101462647 37.533163891497594, 127.03286634957023 37.53345739819932, 127.03192608633327 37.53372847539465, 127.03142161941524 37.53387569278815, 127.03095282249448 37.534008651152654, 127.03048087453384 37.5341316560112, 127.03019187004544 37.53419018628596, 127.02991656641034 37.53424844658776)"
304863,1220010206,1210024701,1210024700,4,104,000,-,남부순환로,0,0,000,60,0,0,0,28.618534378318,,"LINESTRING (127.03635453184486 37.484944551775826, 127.03603575910236 37.48490026575917)"
304885,1220010207,1210026200,1210025101,4,104,000,-,남부순환로,0,0,000,60,0,0,0,171.252804281924,,"LINESTRING (127.04134160908629 37.48563750381337, 127.03943407883642 37.485372428717234)"
304956,1220010208,1210025101,1210025100,4,104,000,-,남부순환로,0,0,000,50,0,0,0,110.004414236115,,"LINESTRING (127.03943407883642 37.485372428717234, 127.03820878183419 37.485202141606734)"
305154,1220010307,1210025100,1210025101,4,104,000,-,남부순환로,0,0,000,50,0,0,0,110.004414235198,,"LINESTRING (127.0382320929158 37.48509562857243, 127.03945738823097 37.48526591544522)"
305162,1220010306,1210024701,1210025100,4,104,000,-,남부순환로,0,0,000,60,0,0,0,166.469317142871,,"LINESTRING (127.03637783417236 37.484838038203826, 127.03823208726197 37.48509562767324)"
305193,1220010308,1210025101,1210026200,4,104,000,-,남부순환로,0,0,000,60,0,0,0,171.252902787707,,"LINESTRING (127.03945738823097 37.48526591544522, 127.04136491698507 37.485530990170986)"
305819,1220011802,1210028400,1210024100,4,104,000,-,강남대로,0,0,000,50,0,0,0,530.58936089227,,"LINESTRING (127.03182894637813 37.48901264409211, 127.03384037819765 37.484819416946145, 127.03399983489479 37.48455703535578)"
305952,1220011902,1210024100,1210028400,5,104,000,-,강남대로,0,0,000,50,0,0,0,529.5577490145,,"LINESTRING (127.03412194761705 37.48460416163726, 127.03396503335675 37.48486236107942, 127.03195568944486 37.4890512486958)"
305953,1220011903,1210028400,1210028900,5,104,000,-,강남대로,0,0,000,50,0,0,0,64.661552362134,,"LINESTRING (127.0319560362649 37.48905051067663, 127.0317049614144 37.48959768823008)"
308848,1220013504,1220021401,1220025900,3,104,000,-,논현로,0,0,000,60,0,0,0,308.359612504469,,"LINESTRING (127.0416285577988 37.48973380054718, 127.0416780453839 37.49030284778018, 127.04167065777204 37.49070307702352, 127.04160189049657 37.49099603410197, 127.04149567944202 37.49129879823383, 127.0412704303419 37.491766061163354, 127.0409596607863 37.49241513422153)"
308866,1220013401,1220021400,1210026200,3,104,000,-,논현로,0,0,000,50,0,0,0,323.51298881676,,"LINESTRING (127.0413843971075 37.48849019832729, 127.04123366676879 37.48667074383458, 127.04123353778192 37.48643605829439, 127.04124087352294 37.48610044550993, 127.04128558083812 37.48558055085046)"
308890,1220013501,1210026200,1220021400,3,104,000,-,논현로,0,0,000,50,0,0,0,321.900560267523,,"LINESTRING (127.04142094525592 37.48558794219571, 127.04137647480104 37.48610508514358, 127.04136922128494 37.48643697584263, 127.04136934821156 37.486667155441715, 127.04151978928209 37.4884830761106)"
308904,1220013404,1220021401,1220021400,3,104,000,-,논현로,0,0,000,60,0,0,0,139.166507598473,,"LINESTRING (127.04149319410227 37.489741275171546, 127.04138441190383 37.48849037401863)"
308905,1220013503,1220021400,1220021401,3,104,000,-,논현로,0,0,000,60,0,0,0,139.166500729546,,"LINESTRING (127.04151977448495 37.48848289951827, 127.0416285577988 37.48973380054718)"
309128,1220014100,1220023200,1220024100,3,104,000,-,선릉로,0,0,000,60,0,0,0,146.286735755827,,"LINESTRING (127.05587399143663 37.48966175137237, 127.05558104997085 37.49061931005465, 127.05547798362062 37.49094146234522)"
309911,1220016301,1210028900,1210029200,4,104,000,-,강남대로,0,0,000,50,0,0,0,60.876177396603,,"LINESTRING (127.03170405873976 37.489599548152185, 127.0314439889851 37.49010739312642)"
309943,1220016304,1210029201,1220006300,5,104,000,-,강남대로,0,0,000,50,0,0,0,176.437955066541,,"LINESTRING (127.03074097440405 37.4915813597009, 127.03003216434462 37.49306737056848)"
310108,1220016204,1210029201,1210029200,4,104,000,-,강남대로,0,0,000,60,0,0,0,175.152255530744,,"LINESTRING (127.0306141339113 37.491542948454175, 127.031317753935 37.49006776249968)"
310498,1220017600,1220006600,1220023900,2,104,000,-,도곡로7길,0,0,000,40,0,0,0,411.563440819504,,"LINESTRING (127.03335847712084 37.494073877052486, 127.03502037393999 37.49061015668086)"
325050,1220345801,1220158901,1220002200,4,102,000,88,올림픽대로,0,0,000,80,5,0,0,246.164276791669,,"LINESTRING (127.06276231973082 37.52032677359649, 127.06273981877668 37.520304156377705, 127.06384814781404 37.51944971205606, 127.06449741511791 37.518964248428524, 127.06454434905815 37.518920480324184, 127.06461968297648 37.51884988198431, 127.06467157079568 37.51880556874111, 127.06470593275291 37.51877585354745)"
325272,1210065300,1210049400,1210049100,2,101,000,1,경부고속도로,0,0,101,40,5,0,0,90.182648141572,,"LINESTRING (127.01587438090448 37.52076416779547, 127.0162844890795 37.520751350157965, 127.01660323160979 37.52069766817472, 127.01687258452377 37.52062611199293)"
325273,1220004902,1220054500,1220056700,3,103,000,47,영동대로,0,0,000,50,0,0,0,340.307413876552,,"LINESTRING (127.05458424182446 37.52507108432028, 127.05458850608125 37.525200611323186, 127.05462775899765 37.52536336101482, 127.05469801431948 37.52560750638029, 127.05599362724179 37.52790700397173)"
325274,1220016002,1220027600,1220021900,3,104,004,-,언주로,0,0,000,60,0,0,0,645.404510752324,,"LINESTRING (127.0466800039423 37.494180881162784, 127.04724274605489 37.492967037941874, 127.04755295594072 37.49239667506211, 127.04955646702403 37.48883892552132)"
327347,1210005305,1210002000,1210050600,4,102,000,88,올림픽대로,0,0,000,80,5,0,0,223.026314143789,,"LINESTRING (127.01608370531986 37.52390381133093, 127.01564434588978 37.52356439152913, 127.0150754180296 37.523025468670745, 127.01442005110997 37.522395839755454)"
327378,1210030001,1210048800,1210047900,5,104,000,-,강남대로,0,0,000,50,0,0,0,183.66822510297,,"LINESTRING (127.01900480628338 37.51772187021449, 127.01949584121091 37.516113898937945)"
327379,1210030102,1210047900,1210048900,4,104,000,-,강남대로,0,0,000,50,0,0,0,185.505800333733,,"LINESTRING (127.01962798400582 37.5161386924952, 127.01913207036333 37.517762757926086)"
327380,1210030501,1210049700,1210049800,3,104,000,-,잠원로,0,0,000,50,0,0,0,80.773341148052,,"LINESTRING (127.01646001389399 37.521053298757565, 127.01723664422646 37.52143671786168)"
327413,1210178700,1210049800,1210050300,3,104,000,-,압구정로,0,0,000,50,0,0,0,59.809961861462,,"LINESTRING (127.01723664422646 37.52143671786168, 127.01780352418338 37.521730892280935)"
327424,1220002902,1220002400,1220064100,3,102,000,61,동부간선도로,0,0,000,80,5,0,0,678.987583656591,,"LINESTRING (127.06309268074435 37.521790266513364, 127.0631885944264 37.52160845867378, 127.06331792510746 37.52140938224299, 127.06346957297386 37.52120776455879, 127.06370359719695 37.520966205868916, 127.06402038333945 37.52069910619814, 127.06426766582733 37.52049111955989, 127.0645445770656 37.52026669543197, 127.06477632526199 37.52005341380057, 127.06505768280424 37.519796939142964, 127.06520398785067 37.51964841282165, 127.06541147176955 37.519430092293, 127.06555261966174 37.51923655157291, 127.06571713005575 37.51901308167694, 127.06585098890191 37.51879590322241, 127.06600141976867 37.51857350935304, 127.0660848179468 37.51839130781613, 127.06621827452015 37.518114343982404, 127.06636244230813 37.51771610794018, 127.06640184084347 37.517523476525604, 127.06655178065866 37.51673502141498, 127.06659000903045 37.51650978685483)"
327425,1220003501,1220001900,1220045400,1,102,000,61,동부간선도로,0,0,102,40,5,0,0,846.402415302339,,"LINESTRING (127.06793796641482 37.508813059107325, 127.06785141891072 37.509868880736086, 127.06773283008273 37.51096547651863, 127.06765337788627 37.511764110026284, 127.06757378828917 37.51258659122641, 127.06754274893181 37.51277726593569, 127.0674290370014 37.51302725859852, 127.06686453303412 37.514351540720924, 127.06671411841113 37.51535365000246, 127.06792976031201 37.51547071559763)"
327426,1220012501,1220017900,1220020800,4,104,000,-,남부순환로,0,0,000,60,0,0,0,398.642433441882,,"LINESTRING (127.04544039561154 37.48627883541365, 127.04931875598895 37.48810909694767)"
327427,1220003900,1220001900,1220002400,3,102,000,61,동부간선도로,0,0,000,80,5,0,0,1544.69615929204,,"LINESTRING (127.06793796641482 37.508813059107325, 127.06792276586629 37.50891594545566, 127.06779337279198 37.50983537507473, 127.06745852605538 37.51189909277899, 127.06709262399654 37.514323584780925, 127.06700783534865 37.514867045382466, 127.06684266744222 37.51599764170663, 127.06670847230983 37.5167533008784, 127.06655828415091 37.51754306368054, 127.0665172247552 37.517743822230216, 127.06636855651274 37.51815449212914, 127.06623314481728 37.518435514444185, 127.06614627640586 37.518625298167024, 127.06599182635743 37.51885363297579, 127.06585670608506 37.51907286027101, 127.06568939622848 37.519300133247775, 127.06554356540468 37.519500096374216, 127.06532942957422 37.519725416198746, 127.06517969334584 37.51987742604227, 127.06489582776683 37.520136186407456, 127.06466104365629 37.52035226394226, 127.06438164665896 37.52057870253525, 127.06413544146633 37.520785783316285, 127.06382414912126 37.52104825097083, 127.0636006440553 37.52127895345641, 127.06345631506899 37.52147083924828, 127.06333156918942 37.52166286032118, 127.06322058834716 37.52182647698876)"
327428,1220004202,1220052900,1220052500,6,103,000,47,영동대로,0,0,000,50,0,0,0,49.280974215064,,"LINESTRING (127.05476501224872 37.52415740507319, 127.05497469156379 37.52374598476838)"
327429,1220004203,1220054500,1220052900,5,103,000,47,영동대로,0,0,000,50,0,0,0,104.146036952164,,"LINESTRING (127.05444936029205 37.52505751171479, 127.05452570169705 37.52471659221839, 127.0545672205415 37.52456922854108, 127.05464526961026 37.524393385287176, 127.05476501224872 37.52415740507319)"
327430,1220004304,1220049500,1220064000,7,103,000,47,영동대로,0,0,000,50,0,0,0,386.939837769006,,"LINESTRING (127.05712582338079 37.52010727559927, 127.05536425588011 37.52329882180405)"
327431,1220004305,1220064000,1220052500,6,103,000,47,영동대로,0,0,000,50,0,0,0,58.950436365617,,"LINESTRING (127.05536425588011 37.52329882180405, 127.05510047510464 37.523786649659215)"
327432,1220004501,1220047900,1220050100,4,102,003,88,올림픽대로,0,0,000,80,5,0,0,581.429556603258,,"LINESTRING (127.06757476176244 37.518522355427116, 127.06698031296374 37.51854106277912, 127.06673790970625 37.51856623076251, 127.06646859292644 37.51861644506594, 127.06613644943825 37.518695299899065, 127.0658806204736 37.51877053607504, 127.06567866769917 37.51884931783078, 127.06549917103344 37.51893881413198, 127.06531518427494 37.51902831264234, 127.0651536505088 37.51912494974257, 127.06498315868282 37.519246623215615, 127.06479023756442 37.51938976342975, 127.06462875477281 37.51954719045063, 127.06431476851861 37.51986561320768, 127.06328313082338 37.52097111171109, 127.06307232827552 37.521214383491, 127.06291084394887 37.521378959376555, 127.0626641018187 37.52159721789321)"
327433,1220004801,1220055300,1220054500,3,103,000,47,영동대로,0,0,000,50,0,0,0,64.169700363153,,"LINESTRING (127.05456716101823 37.52563685938927, 127.0544948725711 37.5253856474244, 127.05445306572905 37.525212305784265, 127.05444832857935 37.52506842062388)"
